date, symbol, reportedCurrency, cik, fillingDate, acceptedDate, calendarYear, period, revenue, costOfRevenue, grossProfit, grossProfitRatio, researchAndDevelopmentExpenses, generalAndAdministrativeExpenses, sellingAndMarketingExpenses, sellingGeneralAndAdministrativeExpenses, otherExpenses, operatingExpenses, costAndExpenses, interestIncome, interestExpense, depreciationAndAmortization, ebitda, ebitdaratio, operatingIncome, operatingIncomeRatio, totalOtherIncomeExpensesNet, incomeBeforeTax, incomeBeforeTaxRatio, incomeTaxExpense, netIncome, netIncomeRatio, eps, epsdiluted, weightedAverageShsOut, weightedAverageShsOutDil, link, finalLink, lastRetainedEarnings, stockRepurchases, dividendsPaid, otherDistributions, retainedEarnings, grossPPE, annualDepreciation, capitalExpenditure, netPPE, lastGoodwill, acquisitionsAndAdjustments, goodwill
"2023-12-31","CSV","USD","0001016281","2024-03-01","2024-03-01 16:28:48","2023","FY","382520000","258225000","124295000","0.3249372582","0","42125000","0","42125000","1373000","42125000","300350000","4483000","36266000","22518000","106061000","0.2772691624","80979000","0.2116987347","525000","46429000","0.12137666","13016000","33413000","0.0873496811","2.24","2.14","14803000","15455000","https://www.sec.gov/Archives/edgar/data/1016281/000101628124000041/0001016281-24-000041-index.htm","https://www.sec.gov/Archives/edgar/data/1016281/000101628124000041/csv-20231231.htm","176843000","-252000","-6708000","26453000","210256000","418359000","22518000","-18039000","413880000","410137000","13506000","423643000",
"2022-12-31","CSV","USD","0001016281","2023-03-01","2023-03-01 16:41:00","2022","FY","370174000","250948000","119226000","0.3220809673","0","37471000","0","37471000","82000","37471000","288419000","3919000","25895000","23196000","102922000","0.2780368151","79726000","0.2153743915","-22532000","57194000","0.1545057189","15813000","41381000","0.11178797","2.78","2.63","14857000","15710000","https://www.sec.gov/Archives/edgar/data/1016281/000101628123000045/0001016281-23-000045-index.htm","https://www.sec.gov/Archives/edgar/data/1016281/000101628123000045/csv-20221231.htm","135462000","-36663000","-6763000","-2045000","176843000","399336000","23196000","-26081000","402221000","391972000","18165000","410137000",
"2021-12-31","CSV","USD","0001016281","2022-03-02","2022-03-02 17:08:08","2021","FY","375886000","246370000","129516000","0.344561915","0","33949000","0","33949000","1241000","35190000","281560000","3894000","25465000","22387000","116047000","0.3087292424","93660000","0.2491712913","-49356000","44304000","0.1178655231","11145000","33159000","0.088215576","1.9","1.81","17409000","18266000","https://www.sec.gov/Archives/edgar/data/1016281/000101628122000046/0001016281-22-000046-index.htm","https://www.sec.gov/Archives/edgar/data/1016281/000101628122000046/csv-20211231.htm","102303000","-140040000","-7264000","-114145000","135462000","387949000","22387000","-24883000","390445000","392978000","-1006000","391972000",
"2020-12-31","CSV","USD","0001016281","2021-03-02","2021-03-02 17:18:20","2020","FY","329448000","223525000","105923000","0.3215165975","0","25827000","0","25827000","1427000","27254000","250779000","10636000","32731000","19389000","98210000","0.2981047085","78821000","0.239251718","-54179000","24642000","0.0747978437","8552000","16090000","0.0488392705","0.9","0.89","17872000","18077000","https://www.sec.gov/Archives/edgar/data/1016281/000101628121000071/0001016281-21-000071-index.htm","https://www.sec.gov/Archives/edgar/data/1016281/000101628121000071/csv-20201231.htm","86213000","-348000","-6048000","9694000","102303000","391386000","19389000","-15198000","387195000","398292000","-5314000","392978000",
